None,count,count,count,count,count,count
10711,352.0,3.0,2.0,1.0,,585.0
10713,5.0,,,,,10.0
10722,40.0,,,,,92.0
10728,254.0,,1.0,,1.0,325.0
10734,130.0,3.0,3.0,,,238.0
10738,1.0,,,,,1.0
10746,12.0,,,,,42.0
10747,15.0,,,,,41.0
10748,887.0,15.0,6.0,,5.0,1445.0
10749,1.0,,,,,1.0
10752,35.0,,,,,57.0
10755,99.0,1.0,,,,115.0
10757,2.0,,,,,8.0
10761,105.0,,,,,149.0
10766,,,,,,11.0
10768,1315.0,69.0,36.0,6.0,7.0,2372.0
10772,10.0,,,,,8.0
10774,783.0,25.0,13.0,5.0,8.0,1384.0
10781,4.0,,,,,
10783,30.0,,,,,48.0
10798,,1.0,1.0,,,
10812,3.0,,,,,4.0
10813,565.0,14.0,9.0,,4.0,845.0
10818,4.0,,1.0,,,3.0
10825,113.0,1.0,,,,170.0
10830,111.0,6.0,1.0,,,218.0
10834,22.0,,,,,25.0
10838,151.0,,,,4.0,291.0
10843,14.0,,,,,30.0
10849,264.0,,,,1.0,432.0
10855,20.0,,,,,21.0
10882,2.0,,,,,3.0
10888,22.0,1.0,,,,12.0
10890,13.0,,,,,40.0
10898,233.0,2.0,1.0,,2.0,296.0
10907,18.0,,,,,24.0
10911,2.0,,,,,3.0
10912,4.0,,,,,4.0
10922,3797.0,78.0,32.0,9.0,22.0,6148.0
10942,118.0,2.0,1.0,1.0,1.0,191.0
10953,58.0,1.0,1.0,,1.0,85.0
10956,6.0,,,,,7.0
10959,729.0,13.0,7.0,1.0,4.0,1098.0
10960,1958.0,6.0,2.0,,24.0,4147.0
10962,3.0,,,,,
10965,2.0,,,,,1.0
10974,264.0,12.0,4.0,1.0,1.0,436.0
10981,15.0,,,,,27.0
10982,1.0,,,,,3.0
10984,4140.0,112.0,45.0,13.0,18.0,7400.0
10985,25.0,1.0,,,,49.0
11004,13.0,,,,,18.0
11009,33.0,,,,,39.0
11017,2206.0,73.0,50.0,,13.0,3897.0
11018,222.0,,,,2.0,288.0
11020,2.0,,,,,4.0
11025,13.0,,,,,18.0
11026,2.0,,,,,6.0
11036,45026.0,1316.0,601.0,117.0,190.0,74009.0
11040,30.0,1.0,,,,34.0
11051,111.0,2.0,,,,180.0
11052,2.0,,,,,
11057,1.0,,,,,
11061,1730.0,51.0,30.0,3.0,13.0,3336.0
11064,1.0,,,,,1.0
11067,15.0,,,,,30.0
11076,1.0,,,,,
11087,108.0,,,,,170.0
11090,4838.0,48.0,23.0,2.0,23.0,8019.0
11092,409.0,9.0,8.0,,2.0,679.0
11113,3.0,,,,,6.0
11115,38.0,,,,1.0,59.0
11121,32.0,,,,,51.0
11133,13.0,,,,,33.0
11136,2.0,,,,,2.0
11137,2.0,,,,,4.0
11144,11.0,1.0,1.0,,,27.0
11145,2.0,,,,,3.0
11148,23.0,,,,,44.0
11153,1.0,,,,,1.0
11154,1557.0,30.0,18.0,,4.0,3660.0
11157,147.0,1.0,,,,225.0
11162,9.0,,,,,22.0
11171,3.0,,,,,8.0
11175,1.0,,,,,2.0
11179,4.0,,,,,15.0
11182,23.0,1.0,1.0,,,39.0
11187,32.0,7.0,1.0,,,51.0
11188,442.0,21.0,7.0,,2.0,784.0
11191,1.0,,,,,1.0
11192,81.0,2.0,2.0,,,97.0
11204,1.0,,,,,
11209,18.0,,,,,23.0
11216,41.0,,1.0,,,59.0
11223,149.0,5.0,3.0,,1.0,167.0
11243,94.0,3.0,2.0,,,176.0
11247,20.0,,,,,27.0
11253,12.0,,,,,20.0
11257,19548.0,492.0,258.0,34.0,110.0,31734.0
11259,19.0,,,,,47.0
11261,5040.0,214.0,106.0,16.0,27.0,8756.0
11272,1.0,,,,,1.0
11277,9.0,,,,,10.0
11278,1.0,,,,,1.0
11282,2.0,,,,,4.0
11285,1245.0,14.0,7.0,,2.0,1890.0
11291,400.0,2.0,3.0,,,781.0
11296,250.0,,,,,311.0
11326,8.0,1.0,,,,13.0
11352,55.0,,,,1.0,79.0
11358,6.0,,,,,7.0
11360,129.0,2.0,2.0,,,229.0
11366,19.0,,,,,22.0
11368,13.0,,,,,17.0
11369,152.0,8.0,5.0,,,203.0
11370,461.0,,,,4.0,645.0
11379,71.0,2.0,1.0,,1.0,122.0
11388,6.0,,,,,5.0
11389,33.0,,,,,50.0
11405,138.0,,,,,201.0
11406,233.0,1.0,1.0,,,823.0
11407,7.0,,,,,7.0
11412,317.0,1.0,1.0,,1.0,472.0
11421,4.0,,,,,6.0
11423,1.0,,,,,
11424,8.0,,,,,56.0
11436,2350.0,66.0,37.0,7.0,14.0,3773.0
11444,24.0,,,,,24.0
11445,3.0,,,,,15.0
11451,3442.0,96.0,44.0,7.0,16.0,4736.0
11457,2.0,,,,,4.0
11460,15.0,,,,,27.0
11470,1.0,,,,,3.0
11473,414.0,14.0,5.0,,2.0,579.0
11476,76.0,3.0,1.0,,,133.0
11478,5.0,,,,,9.0
11487,14.0,,,,,12.0
11499,73.0,3.0,1.0,,,109.0
11506,2.0,,,,,3.0
11509,2.0,,,,,3.0
11520,2.0,1.0,,,,6.0
11524,17.0,,,,,32.0
11526,55.0,,1.0,,1.0,84.0
11528,5.0,,,,,6.0
11532,2.0,,,,,3.0
11536,1066.0,2.0,1.0,,9.0,2843.0
11540,150.0,5.0,3.0,,,235.0
11543,190.0,,,,,354.0
11552,13.0,3.0,1.0,,,59.0
11554,6.0,,,,,7.0
11558,11.0,1.0,,,,21.0
11567,3.0,,,,,3.0
11570,6.0,,,,,9.0
11571,4.0,,,,,12.0
11577,30.0,,,,,38.0
11583,5.0,,,,,8.0
11585,408.0,4.0,4.0,,4.0,753.0
11600,3.0,,,,,
11607,44.0,2.0,,,,95.0
11609,50.0,,,,,73.0
11613,141.0,,,,1.0,264.0
11627,16.0,,,,,25.0
11632,158.0,9.0,8.0,1.0,2.0,255.0
11639,152.0,4.0,1.0,1.0,1.0,196.0
11640,17278.0,519.0,241.0,13.0,112.0,30127.0
11650,117.0,,,,2.0,148.0
11651,5.0,,,,,4.0
11655,1.0,,,,,
11656,2.0,,,,,3.0
11658,115.0,,,,2.0,223.0
11659,19.0,,,,1.0,26.0
11675,4.0,,,,,5.0
11686,216.0,7.0,4.0,,1.0,370.0
11689,,1.0,,,,
11692,431.0,9.0,8.0,,2.0,624.0
11697,4.0,,,,,6.0
11699,202.0,1.0,,1.0,1.0,207.0
11702,4.0,,,,,4.0
11706,327.0,2.0,,,,414.0
11707,67.0,3.0,1.0,,1.0,130.0
11708,791.0,13.0,9.0,,4.0,1195.0
11709,392.0,7.0,3.0,,3.0,689.0
11710,123.0,1.0,2.0,,,206.0
11711,1.0,,,,,2.0
11728,823.0,14.0,12.0,,4.0,1392.0
11734,105.0,,,,,172.0
11735,15.0,2.0,,,2.0,20.0
11764,11.0,,,,,11.0
11766,3701.0,80.0,40.0,2.0,25.0,5551.0
11787,16.0,,,,,32.0
11789,6.0,,,,,5.0
11794,180.0,10.0,2.0,,1.0,302.0
11800,5.0,,,,,9.0
11805,5.0,,,,,4.0
11809,1293.0,19.0,14.0,,6.0,2305.0
11810,274.0,7.0,5.0,,1.0,365.0
11818,105.0,1.0,1.0,,,146.0
11840,3391.0,,,,11.0,5931.0
11848,10.0,2.0,,,,16.0
11861,147.0,1.0,,,,216.0
11863,527.0,14.0,5.0,4.0,1.0,1023.0
11865,195.0,3.0,,,1.0,308.0
11866,31.0,,,,,46.0
11867,7.0,,,,,12.0
11876,2977.0,77.0,39.0,7.0,24.0,4435.0
11881,314.0,6.0,2.0,1.0,1.0,454.0
11888,8.0,1.0,,,,11.0
11891,2.0,,,,,4.0
11895,110.0,,,,,190.0
11900,2.0,,,,,4.0
11911,195.0,1.0,1.0,,1.0,365.0
11920,7.0,,,,,6.0
11941,513.0,,,,,921.0
11949,40.0,11.0,,1.0,,47.0
11950,19.0,,,,,31.0
11957,1.0,,,,,2.0
11961,95.0,,,,,162.0
11968,49.0,3.0,1.0,,,80.0
11975,42.0,,,,,42.0
11978,1885.0,39.0,25.0,1.0,7.0,3017.0
11982,161.0,1.0,,,,237.0
11985,1.0,,,,,2.0
11989,6.0,,,,,17.0
11990,6319.0,116.0,56.0,5.0,24.0,10091.0
12000,1308.0,11.0,11.0,,6.0,2673.0
12002,379.0,7.0,,,,426.0
12018,10.0,1.0,1.0,,,13.0
12021,1.0,,,,,
12025,1.0,,,,,
12027,72.0,,,,,92.0
12028,963.0,23.0,9.0,1.0,6.0,1620.0
12031,125.0,3.0,1.0,,,229.0
12036,3.0,,,,,7.0
12037,144.0,,,,,221.0
12040,4.0,,,,,5.0
12046,1122.0,16.0,7.0,,4.0,1796.0
12050,2.0,,,,,5.0
12057,62.0,1.0,,,,120.0
12064,7.0,,,,,8.0
12066,15.0,1.0,1.0,,,21.0
12067,2.0,,1.0,,,4.0
12068,948.0,33.0,19.0,7.0,1.0,2025.0
12074,1.0,,,,,3.0
12079,319.0,2.0,1.0,,1.0,463.0
12096,132.0,,,,1.0,243.0
12098,20.0,2.0,1.0,,,26.0
12100,488.0,2.0,2.0,,2.0,1029.0
12103,38.0,2.0,,,,76.0
12108,,,,,,6.0
12113,1.0,,,,,5.0
12116,23.0,,,,,40.0
12137,15.0,,,,,36.0
12138,192.0,,,,,513.0
12142,25.0,2.0,1.0,,,33.0
12148,1.0,1.0,,,,7.0
12156,200.0,5.0,2.0,,,308.0
12166,13.0,,,,,19.0
12171,14.0,,,,,24.0
12177,61.0,,,,,106.0
12180,93.0,,,,1.0,165.0
12183,222.0,2.0,,,1.0,297.0
12184,1680.0,38.0,12.0,,9.0,2830.0
12201,5.0,,,,,8.0
12219,29.0,1.0,,,,49.0
12224,2258.0,62.0,33.0,1.0,12.0,3846.0
12226,20.0,,,,,21.0
12227,30.0,,,,,53.0
12230,106.0,2.0,2.0,,1.0,184.0
12251,776.0,25.0,20.0,1.0,4.0,1069.0
12252,43.0,,,,,74.0
12268,5.0,,,,,11.0
12272,5563.0,211.0,91.0,20.0,42.0,8302.0
12279,10805.0,9.0,3.0,,76.0,16992.0
12285,28.0,1.0,,,,32.0
12295,1.0,,,,,
12305,100.0,,,,,276.0
12308,16.0,,,,,21.0
12315,24.0,1.0,,,,59.0
12319,6.0,,,,,9.0
12328,18.0,1.0,1.0,,,29.0
12330,2.0,,,,,
12333,3.0,,,,,6.0
12336,331.0,9.0,7.0,,1.0,507.0
12339,1.0,,,,,
12340,74.0,1.0,,,1.0,102.0
12344,21.0,,,,,13.0
12346,1471.0,29.0,15.0,1.0,8.0,2083.0
12356,2.0,,,,,
12358,7.0,,,,,20.0
12360,791.0,8.0,4.0,,1.0,1395.0
12362,8.0,,,,,9.0
12371,435.0,11.0,4.0,1.0,2.0,718.0
12372,297.0,,,,1.0,442.0
12387,10.0,,,,,12.0
12396,1.0,,,,,
12402,11.0,,,,,33.0
12408,29.0,,,,,51.0
12415,71.0,3.0,3.0,2.0,,120.0
12423,4.0,,,,,4.0
12425,15.0,1.0,,,,38.0
12429,2.0,,,,,7.0
12433,3.0,,,,,6.0
12444,8.0,,,,,6.0
12451,2.0,,,,,
12456,92.0,,,,,132.0
12460,32.0,,,,,43.0
12461,7.0,,,,,15.0
12463,229.0,10.0,8.0,,,410.0
12465,334.0,11.0,5.0,,,534.0
12467,9.0,,,,,8.0
12470,1.0,,,,,
12475,22.0,,,4.0,,35.0
12479,22.0,,,,,33.0
12491,93.0,7.0,3.0,1.0,1.0,135.0
12493,2.0,,,,,3.0
12494,3.0,,,,,5.0
12497,32.0,,,,,57.0
12503,4.0,,,,,7.0
12504,3080.0,78.0,38.0,5.0,22.0,4666.0
12506,49.0,,,,1.0,95.0
12508,,1.0,,,,
12509,46.0,2.0,3.0,,,95.0
12516,1.0,,,,,2.0
12522,1.0,,,,,1.0
12526,1.0,,,,,
12528,136.0,1.0,1.0,,1.0,211.0
12540,10605.0,358.0,168.0,10.0,56.0,16531.0
12564,329481.0,9387.0,3556.0,313.0,1860.0,535698.0
12568,649.0,28.0,12.0,1.0,7.0,1288.0
12574,1.0,,,,,
12575,1.0,,,,,2.0
12585,4.0,,,,,15.0
12586,8.0,,,,,19.0
12599,1353.0,45.0,18.0,,14.0,1856.0
12604,3.0,,,,,2.0
12607,783.0,9.0,8.0,,,1248.0
12609,9824.0,370.0,163.0,88.0,54.0,15622.0
12617,465.0,8.0,3.0,,3.0,740.0
12623,14.0,,,,,21.0
12632,3.0,,,,,14.0
12633,2.0,,,,,3.0
12656,59.0,1.0,1.0,,,105.0
12670,14.0,,,,,20.0
12681,540.0,7.0,4.0,,2.0,971.0
12683,4.0,,,,,7.0
12684,1.0,,,,,1.0
12685,34.0,2.0,2.0,,,53.0
12687,1.0,,,,,4.0
12688,3.0,,,,,3.0
12693,6.0,,,,,10.0
12694,5.0,,,,,7.0
12696,1.0,,,,,1.0
12709,8.0,1.0,,,,6.0
12712,109.0,1.0,,,,167.0
12717,2.0,,,,,2.0
12720,158.0,3.0,1.0,,,343.0
12721,1.0,,,,,2.0
12733,19.0,,,,,39.0
12736,1312.0,79.0,43.0,4.0,7.0,2146.0
12738,42.0,,,,1.0,66.0
12740,658.0,22.0,9.0,,6.0,960.0
12748,9.0,,,,,16.0
12752,71.0,1.0,,1.0,,107.0
12755,213.0,1.0,1.0,,1.0,310.0
12772,12447.0,309.0,147.0,12.0,67.0,20902.0
12776,888.0,15.0,18.0,,5.0,1493.0
12778,65.0,1.0,1.0,,,122.0
12782,2.0,,,,,2.0
12790,2.0,,,,,3.0
12797,79.0,5.0,2.0,1.0,2.0,129.0
12803,1.0,,,,,
12806,5.0,,,,,8.0
12811,151.0,2.0,,1.0,2.0,415.0
12835,1.0,,,,,5.0
12840,1.0,,,,,2.0
12842,9.0,,,,,15.0
12847,3.0,,,,,13.0
12848,36.0,4.0,1.0,1.0,,92.0
12853,49.0,,,,,98.0
12861,4.0,1.0,,,,3.0
12862,34.0,,,,,53.0
12873,2.0,,,,,4.0
12878,11.0,,,,,2.0
12881,384.0,3.0,2.0,,2.0,723.0
12895,2.0,,,,,2.0
12904,357.0,12.0,6.0,,1.0,543.0
12909,11.0,,,,,14.0
12913,12.0,,,,,19.0
12921,,,,,,1.0
12928,135.0,,,,1.0,206.0
12942,248.0,3.0,2.0,,,393.0
12949,82.0,1.0,1.0,,,342.0
12953,304.0,1.0,1.0,,,451.0
12958,8447.0,205.0,81.0,10.0,42.0,13443.0
12974,8883.0,244.0,76.0,38.0,49.0,16727.0
12987,94.0,,,,1.0,123.0
12988,306.0,4.0,6.0,1.0,1.0,570.0
12991,66.0,,,,,93.0
12994,10343.0,225.0,136.0,22.0,62.0,16313.0
12996,18.0,,,,,10.0
13006,77.0,3.0,,,,139.0
13007,10292.0,267.0,154.0,23.0,56.0,16469.0
13012,320.0,15.0,11.0,,3.0,535.0
13013,7.0,,,,,10.0
13016,31.0,,,,,50.0
13018,2.0,,,,,3.0
13029,831.0,26.0,11.0,,6.0,1538.0
13035,616.0,,,,,1068.0
13055,2.0,,,,,4.0
13057,6386.0,102.0,66.0,,38.0,10615.0
13063,44.0,1.0,,,,88.0
13072,4.0,,,,,8.0
13076,1.0,,,,,
13079,68.0,2.0,1.0,,,66.0
13083,392.0,9.0,5.0,,1.0,608.0
13087,9.0,,,,,21.0
13093,791.0,3.0,1.0,,4.0,1875.0
13094,74.0,,,,,106.0
13107,287.0,4.0,6.0,,1.0,437.0
13110,4666.0,192.0,90.0,24.0,32.0,7491.0
13113,49.0,,,,,56.0
13114,2.0,,,,,
13128,12.0,,,,,13.0
13136,47.0,,,,,64.0
13142,24.0,1.0,1.0,,,47.0
13152,6.0,,,,,10.0
13153,1.0,,,,,1.0
13155,6.0,,,,,6.0
13159,1.0,,,,,
13164,271.0,2.0,4.0,,,393.0
13169,1.0,,,,,
13172,202.0,4.0,6.0,,3.0,384.0
13177,145.0,2.0,2.0,,1.0,187.0
13181,11.0,,,,,49.0
13190,50.0,,1.0,,,82.0
13196,12.0,,,,,19.0
13198,250.0,3.0,,,1.0,356.0
13205,13.0,,,,,28.0
13207,11292.0,169.0,92.0,2.0,64.0,16859.0
13208,4.0,,,,,8.0
13211,21.0,,,,,30.0
13222,12.0,1.0,,,,40.0
13223,1711.0,22.0,11.0,2.0,9.0,2794.0
13229,2.0,,,,,
13240,2.0,,,,,3.0
13241,12.0,,,,,21.0
13245,369.0,11.0,6.0,,6.0,627.0
13249,1.0,,,,,
13253,3624.0,101.0,33.0,6.0,30.0,5732.0
13256,1.0,,,,,1.0
13260,60.0,,,,,77.0
13265,1.0,,,,,
13268,1.0,,,,,3.0
13270,149.0,,,,,199.0
13282,42.0,3.0,,,,112.0
13287,5.0,,,,,14.0
13299,60.0,3.0,3.0,,,98.0
13300,1.0,,,,,3.0
13301,38.0,1.0,,,,80.0
13302,199.0,,,,,268.0
13308,4.0,,,,,8.0
13309,75.0,,,,1.0,112.0
13320,52.0,,,,1.0,46.0
13324,1696.0,22.0,8.0,,6.0,2750.0
13333,5.0,,,,,10.0
13334,57303.0,1593.0,874.0,21.0,335.0,102986.0
13339,29.0,1.0,,,,58.0
13345,2.0,,,,,21.0
13347,8.0,,,,,23.0
13348,2.0,,,,,4.0
13349,1881.0,42.0,14.0,1.0,8.0,3347.0
13360,,,,,,5.0
13366,32.0,,,,,77.0
13368,25.0,,,,,43.0
13384,31.0,,,,,50.0
13395,559.0,1.0,,,3.0,767.0
13406,37.0,,,,,59.0
13409,347.0,7.0,5.0,,,591.0
13413,77.0,,,,1.0,132.0
13426,1.0,,,,,3.0
13433,2.0,,,,,
13437,1606.0,2.0,2.0,,9.0,4357.0
13439,3.0,,,,,2.0
13444,411.0,14.0,9.0,1.0,2.0,723.0
13445,9.0,1.0,,,,24.0
13449,56.0,,,,,81.0
13458,29.0,1.0,1.0,,,42.0
13464,68.0,4.0,3.0,,,116.0
13466,13.0,,,,,10.0
13467,11.0,2.0,,,,27.0
13471,28.0,3.0,1.0,,1.0,68.0
13475,15.0,,,,,17.0
13483,2.0,,,,,
13490,6.0,,,,,8.0
13491,2.0,,,,,7.0
13492,25.0,,,,,33.0
13493,25.0,1.0,1.0,,,41.0
13504,97.0,1.0,,,,138.0
13506,51.0,,,,,77.0
13508,,,,,,7.0
13526,182.0,7.0,,,,262.0
13535,1.0,,,,,
13536,15.0,1.0,1.0,,,26.0
13538,261.0,,,,1.0,459.0
13539,62.0,2.0,2.0,,,66.0
13551,8.0,,,,,13.0
13557,448.0,9.0,5.0,,3.0,584.0
13578,2.0,,1.0,,,5.0
13583,153.0,2.0,2.0,,1.0,187.0
13594,264.0,8.0,5.0,,1.0,338.0
13614,21.0,,,,,30.0
13616,122.0,3.0,1.0,,,198.0
13620,33.0,,,,1.0,31.0
13622,212.0,3.0,2.0,1.0,1.0,314.0
13624,40.0,2.0,,,,37.0
13626,62.0,,,,,85.0
13632,2.0,,,,,2.0
13638,17.0,1.0,,,,7.0
13641,28.0,,,,,37.0
13649,5.0,,,,,13.0
13653,48.0,2.0,1.0,,,93.0
13654,235.0,1.0,1.0,,,345.0
13655,17.0,,,,,46.0
13658,35.0,,,,1.0,41.0
13659,2170.0,33.0,22.0,3.0,8.0,3168.0
13691,1.0,,,,,
13693,4.0,,,,,14.0
13696,18.0,,,,,35.0
13699,242.0,,,,2.0,307.0
13702,29.0,,,,,52.0
13713,1316.0,26.0,15.0,1.0,8.0,1933.0
13714,1.0,,,,,4.0
13715,293.0,8.0,3.0,1.0,1.0,467.0
13717,496.0,2.0,3.0,,3.0,828.0
13722,245.0,2.0,1.0,,1.0,364.0
13743,287.0,7.0,2.0,,1.0,379.0
13751,1.0,,,,,
13761,1.0,,,,,
13762,2.0,,,,,2.0
13769,39.0,,,,,59.0
13771,22.0,,,,,37.0
13783,251.0,3.0,2.0,,,419.0
13784,71.0,2.0,1.0,,,118.0
13785,7751.0,327.0,114.0,20.0,72.0,14000.0
13809,22.0,,,,,44.0
13811,1.0,,,,,1.0
13823,5.0,,,,,9.0
13824,133.0,2.0,5.0,,,220.0
13837,154.0,2.0,1.0,,,234.0
13843,289.0,14.0,7.0,,1.0,444.0
13845,1804.0,29.0,12.0,1.0,11.0,3114.0
13851,9.0,2.0,,,,7.0
13868,330.0,7.0,3.0,,1.0,509.0
13885,5.0,,,,,10.0
13891,818.0,18.0,11.0,1.0,4.0,1400.0
13896,2.0,,,,,4.0
13913,258.0,4.0,2.0,,,434.0
13914,36.0,,,,,30.0
13915,726.0,,,,,1127.0
13931,65289.0,1990.0,976.0,81.0,424.0,101032.0
13933,1141.0,34.0,9.0,,7.0,2032.0
13941,2.0,,,,,6.0
13943,791.0,11.0,5.0,,3.0,1945.0
13946,1.0,,,,,1.0
13958,3.0,,,,,6.0
13973,14.0,1.0,1.0,,,23.0
13992,5.0,,,,,7.0
13994,57.0,1.0,1.0,,,96.0
13995,6.0,,,,,8.0
14002,2.0,,,,,2.0
14003,273.0,2.0,3.0,,1.0,443.0
14010,30.0,,,,,51.0
14013,11.0,,,,,19.0
14020,828.0,11.0,4.0,,3.0,1420.0
14021,25.0,,,,,32.0
14022,131.0,1.0,,,,227.0
14034,23.0,,,,,27.0
14041,17.0,,1.0,,,22.0
14044,1.0,,,,,2.0
14045,10.0,,,,,27.0
14060,11.0,,,,,14.0
14065,347.0,20.0,7.0,1.0,1.0,734.0
14066,1034.0,3.0,3.0,,3.0,1640.0
14077,9.0,2.0,,,,13.0
14081,24.0,1.0,,,,61.0
14086,2.0,,,,,1.0
14098,4690.0,201.0,79.0,19.0,38.0,6977.0
14113,313.0,6.0,4.0,1.0,2.0,518.0
14127,25.0,,,,,39.0
14128,203.0,,,,1.0,397.0
14134,21.0,,1.0,,,33.0
14143,827.0,20.0,9.0,2.0,4.0,1234.0
14156,3.0,,,,,3.0
14160,2.0,,,,,19.0
14163,73316.0,2435.0,1093.0,39.0,336.0,113364.0
14168,5.0,,,,,9.0
14177,40.0,,,,,110.0
14181,13967.0,255.0,107.0,5.0,74.0,23530.0
14184,257.0,1.0,,,1.0,325.0
14185,19.0,,,,,40.0
14197,366.0,10.0,3.0,,1.0,745.0
14207,10.0,,,,,10.0
14212,6.0,,,,,6.0
14214,,,,,2.0,101.0
14223,200.0,5.0,,,1.0,286.0
14232,1.0,,,,,
14234,5.0,,,,,4.0
14238,4.0,,,,,7.0
14242,107.0,5.0,,,,145.0
14244,2.0,,,,,3.0
14250,36.0,3.0,2.0,,,51.0
14257,8.0,,,,,8.0
14260,1.0,,,,,1.0
14276,136.0,2.0,1.0,,2.0,200.0
14282,35.0,,,,,65.0
14283,678.0,7.0,3.0,,4.0,1295.0
14284,29.0,2.0,,1.0,,87.0
14292,47.0,1.0,,,,57.0
14294,1324.0,25.0,17.0,,5.0,2077.0
14295,2.0,,,,,5.0
14304,1.0,,,,,
14311,220.0,4.0,4.0,,2.0,368.0
14319,217.0,4.0,3.0,,,337.0
14322,4.0,,,,,8.0
14325,13.0,,,,,17.0
14328,55.0,1.0,1.0,,,68.0
14344,11.0,,,,,15.0
14345,563.0,10.0,3.0,,2.0,813.0
14351,1.0,,,,,1.0
14359,5081.0,217.0,112.0,33.0,32.0,7801.0
14366,8.0,,,,,16.0
14376,2.0,,,,,6.0
14378,1.0,,,,,1.0
14389,14.0,,,,,16.0
14398,876.0,27.0,12.0,,10.0,1450.0
14402,429.0,4.0,3.0,1.0,,675.0
14409,163.0,1.0,1.0,,3.0,220.0
14414,1.0,,,,,2.0
14419,144.0,2.0,1.0,,,197.0
14425,306.0,7.0,4.0,,2.0,408.0
14433,30353.0,1138.0,458.0,40.0,199.0,52201.0
14435,183.0,2.0,1.0,,,206.0
14450,393.0,16.0,5.0,4.0,2.0,602.0
14459,66.0,1.0,1.0,,1.0,81.0
14463,199.0,15.0,15.0,,1.0,292.0
14466,32.0,,,,,40.0
14479,27.0,,,,,29.0
14480,32.0,,,,,40.0
14481,820.0,29.0,25.0,,2.0,2197.0
14491,258.0,6.0,3.0,,2.0,464.0
14515,467.0,15.0,12.0,,4.0,717.0
14523,232.0,15.0,8.0,,2.0,375.0
14529,2.0,,,,,3.0
14535,99.0,1.0,1.0,,,204.0
14541,1.0,,,,,
14543,25.0,1.0,2.0,,,37.0
14544,322.0,3.0,2.0,,1.0,508.0
14556,1.0,,,,,1.0
14559,106.0,2.0,1.0,1.0,2.0,112.0
14574,1264.0,,,,9.0,2250.0
14577,28495.0,962.0,363.0,50.0,161.0,42684.0
14578,1.0,,,,,1.0
14579,6.0,,,,,12.0
14586,2.0,,,,,4.0
14589,849.0,15.0,7.0,1.0,7.0,1370.0
14594,18.0,,,,,33.0
14596,2.0,,,,,4.0
14597,334.0,,,,5.0,709.0
14598,75.0,,,,,81.0
14599,56.0,2.0,2.0,,,123.0
14604,1067.0,1.0,,,3.0,1850.0
14605,140.0,1.0,1.0,,1.0,224.0
14618,5.0,,,,,7.0
14629,2.0,,,,,3.0
14636,1.0,,,,,1.0
14637,196.0,,,,,494.0
14639,7.0,,,,,7.0
14643,182.0,,,,,248.0
14650,25.0,,,,,36.0
14653,130.0,6.0,5.0,,,234.0
14661,1.0,,,,,
14662,52.0,2.0,,,1.0,57.0
14665,82.0,1.0,,,,85.0
14668,93.0,1.0,1.0,,,151.0
14675,2.0,,,,,4.0
14684,44.0,,,,,69.0
14686,14.0,,,,,20.0
14687,83.0,,,,,248.0
14701,7.0,,,,,8.0
14714,2.0,,,,,4.0
14722,103.0,1.0,,1.0,,186.0
14735,4.0,,,,,4.0
14738,4.0,,,,,5.0
14739,9811.0,427.0,196.0,78.0,70.0,15094.0
14745,8.0,,,,,4.0
14769,28.0,,1.0,,,60.0
14772,273.0,,,,4.0,485.0
14773,6.0,,,,,13.0
14775,30.0,1.0,1.0,,,57.0
14781,166.0,2.0,1.0,,,225.0
14786,2.0,,,,,2.0
14794,1.0,,,,,
14796,17.0,,,,,25.0
14798,67.0,3.0,4.0,,,99.0
14805,74.0,2.0,,,,90.0
14808,550.0,8.0,3.0,1.0,,1069.0
14810,507.0,11.0,5.0,,3.0,725.0
14817,13.0,2.0,,,,38.0
14824,6.0,,,,,9.0
14829,628.0,15.0,3.0,,2.0,1097.0
14832,560.0,10.0,6.0,,2.0,778.0
14835,160.0,,,,,241.0
14837,103.0,6.0,,,1.0,214.0
14838,109.0,,,,1.0,179.0
14840,61.0,,,,,85.0
14844,1166.0,14.0,19.0,1.0,8.0,1875.0
14854,4.0,,,,,7.0
14856,9.0,1.0,,,,25.0
14861,57.0,,,,,93.0
14868,79.0,,1.0,,1.0,174.0
14876,174.0,,,,1.0,314.0
14877,4.0,,,,,2.0
14888,54.0,,,,,122.0
14891,1.0,,,,,
14896,609.0,14.0,6.0,,3.0,950.0
14902,2.0,,,,,4.0
14933,40.0,,,,,61.0
14936,44.0,1.0,,,1.0,80.0
14948,571.0,38.0,25.0,,1.0,938.0
14953,486.0,11.0,5.0,1.0,4.0,772.0
14955,2.0,,,,,
14958,5.0,,,,,11.0
14959,70.0,,,,,115.0
14964,366.0,12.0,9.0,1.0,3.0,505.0
14971,4.0,,,,,13.0
14973,40.0,6.0,,,,49.0
14979,90.0,6.0,1.0,,3.0,189.0
14995,5.0,,,,,9.0
15002,145.0,3.0,1.0,,3.0,245.0
15004,33.0,1.0,,,,120.0
15010,1742.0,29.0,8.0,,12.0,3214.0
15019,9.0,,,,,16.0
15020,2.0,,,,,3.0
15022,21.0,2.0,1.0,1.0,,6.0
15024,140.0,2.0,2.0,,,234.0
15025,51.0,,,,1.0,107.0
15028,36.0,1.0,,,,37.0
15031,457.0,14.0,5.0,,2.0,659.0
15034,161.0,3.0,2.0,,3.0,194.0
15043,5.0,,,,,7.0
15045,1.0,,,,,
15049,31.0,2.0,,1.0,,46.0
15054,327.0,14.0,8.0,,2.0,437.0
